# x 	 y 	 x_err 	 y_err
 465.00000  -75.00000   -0.64059   -0.11157
 465.00000  -60.00000   -0.77186   -0.07613
 465.00000  -45.00000   -0.64059   -0.17195
 465.00000  -30.00000   -0.37805   -0.26778
 465.00000  -15.00000   -0.64059   -0.10107
 465.00000    0.00000   -0.24679   -0.19690
 465.00000   15.00000   -0.24679   -0.03019
 465.00000   30.00000   -0.11552    0.13653
 465.00000   45.00000   -0.24679    0.04070
 465.00000   60.00000   -0.11552    0.20741
 465.00000   75.00000    0.01575    0.11158
 480.00000  -75.00000   -0.73642   -1.16172
 480.00000  -60.00000   -0.34261   -0.99501
 480.00000  -45.00000   -0.21134   -0.95956
 480.00000  -30.00000   -0.21134   -0.79285
 480.00000  -15.00000   -0.08008   -0.49487
 480.00000    0.00000    0.05119   -0.45943
 480.00000   15.00000    0.18246   -0.16145
 480.00000   30.00000    0.31373    0.00526
 480.00000   45.00000    0.31373   -0.09057
 480.00000   60.00000    0.31373    0.20741
 480.00000   75.00000    0.44500    0.37412
